FIR_ID,Crime_Type,Area,Latitude,Longitude,Date,Time,Severity,Status,Victim_Age,Victim_Gender
FIR00083,Drug Offense,Yelahanka,13.095898,77.600473,2025-03-27,19:04:56,Medium,Open,32,Other
FIR00084,Assault,Banashankari,12.91386,77.568904,2025-11-23,14:38:35,Medium,Under Investigation,43,Female
FIR00085,Theft,Hebbal,13.034949,77.597855,2025-09-05,14:25:42,Low,Under Investigation,37,Other
FIR00086,Assault,Koramangala,12.934172,77.625133,2026-01-15,07:56:48,Medium,Open,47,Other
FIR00087,Theft,BTM Layout,12.913294,77.609105,2026-02-05,22:02:25,Low,Under Investigation,24,Other
FIR00088,Fraud,Yelahanka,13.100979,77.60098,2025-08-05,14:20:18,Medium,Under Investigation,65,Male
FIR00089,Murder,BTM Layout,12.921278,77.606078,2025-03-27,08:57:34,High,Under Investigation,55,Female
FIR00090,Robbery,Banashankari,12.91848,77.568625,2026-04-09,15:46:29,High,Under Investigation,20,Other
FIR00091,Drug Offense,Electronic City,12.840179,77.67655,2026-04-18,20:31:34,Medium,Under Investigation,51,Male
FIR00092,Fraud,Whitefield,12.971461,77.751723,2026-06-18,15:51:14,Medium,Open,67,Female
FIR00093,Robbery,Bellandur,12.932558,77.678115,2026-07-18,05:19:54,High,Open,30,Male
FIR00094,Kidnapping,Hebbal,13.031974,77.600249,2026-04-15,05:11:34,High,Closed,43,Male
FIR00095,Vehicle Theft,HSR Layout,12.907301,77.649087,2024-10-04,15:25:02,Low,Under Investigation,30,Male
FIR00096,Fraud,Rajajinagar,12.995016,77.549537,2026-01-12,04:15:27,Medium,Open,47,Male
FIR00097,Drug Offense,BTM Layout,12.919986,77.612003,2024-09-09,16:42:32,Medium,Open,60,Male
FIR00098,Drug Offense,Banashankari,12.92215,77.570813,2024-10-12,23:12:45,Medium,Open,50,Other
FIR00099,Domestic Violence,Marathahalli,12.954955,77.698599,2025-06-21,22:29:41,Medium,Open,41,Male
FIR00100,Kidnapping,Koramangala,12.932717,77.626761,2024-10-28,12:42:17,High,Open,57,Other
FIR00101,Domestic Violence,Whitefield,12.971344,77.754384,2025-03-19,00:48:07,Medium,Under Investigation,41,Male
FIR00102,Assault,Malleshwaram,13.000832,77.569138,2024-09-22,03:55:31,Medium,Under Investigation,67,Female
FIR00103,Assault,Electronic City,12.837577,77.67275,2025-11-22,21:01:12,Medium,Open,36,Other
FIR00104,Domestic Violence,Malleshwaram,13.004905,77.572235,2025-02-15,13:33:54,Medium,Under Investigation,70,Male
FIR00105,Cyber Crime,Hebbal,13.039011,77.596246,2025-04-26,08:13:05,Medium,Open,37,Male
FIR00106,Theft,Malleshwaram,13.002125,77.568108,2025-09-13,23:37:17,Low,Under Investigation,19,Male
FIR00107,Assault,Jayanagar,12.92172,77.59508,2026-06-11,16:55:41,Medium,Closed,48,Other
FIR00108,Cyber Crime,Koramangala,12.935329,77.6289,2025-07-08,23:16:13,Medium,Under Investigation,36,Female
FIR00109,Vehicle Theft,Indiranagar,12.9773,77.641894,2024-08-19,03:08:10,Low,Under Investigation,59,Male
FIR00110,Assault,Banashankari,12.923093,77.573428,2026-06-29,12:57:06,Medium,Open,48,Other
FIR00111,Vehicle Theft,Banashankari,12.918834,77.575227,2024-12-10,15:27:50,Low,Under Investigation,52,Female
FIR00112,Domestic Violence,Yelahanka,13.099945,77.599152,2025-04-27,19:18:16,Medium,Closed,48,Female
FIR00113,Assault,Rajajinagar,12.989602,77.550255,2026-05-08,07:35:45,Medium,Open,57,Female
FIR00114,Theft,Rajajinagar,12.98837,77.552897,2024-12-10,01:58:46,Low,Open,21,Other
FIR00115,Assault,Koramangala,12.930716,77.622027,2025-07-01,21:26:07,Medium,Under Investigation,46,Female
FIR00116,Robbery,Jayanagar,12.927544,77.592454,2026-05-30,16:44:33,High,Open,51,Other
FIR00117,Cyber Crime,Jayanagar,12.92278,77.598245,2026-05-29,15:55:46,Medium,Closed,27,Other
FIR00118,Domestic Violence,Koramangala,12.93046,77.623435,2024-11-02,13:56:44,Medium,Open,44,Female
FIR00119,Assault,Yelahanka,13.102114,77.598629,2024-09-05,00:06:19,Medium,Closed,34,Other
FIR00120,Theft,Indiranagar,12.98233,77.639566,2026-05-01,08:09:53,Low,Under Investigation,28,Other
FIR00121,Robbery,Indiranagar,12.976966,77.641856,2025-06-26,22:24:01,High,Open,55,Male
FIR00122,Fraud,Banashankari,12.920247,77.576683,2026-01-22,19:36:35,Medium,Closed,38,Male
FIR00123,Fraud,Hebbal,13.036054,77.596089,2026-04-15,11:50:30,Medium,Under Investigation,32,Other
FIR00124,Vehicle Theft,BTM Layout,12.92064,77.614214,2025-02-09,15:56:59,Low,Closed,35,Female
FIR00125,Robbery,Banashankari,12.920509,77.568796,2025-01-09,22:59:32,High,Closed,45,Female
FIR00126,Kidnapping,Banashankari,12.921017,77.575387,2026-02-05,02:08:30,High,Under Investigation,41,Female
FIR00127,Fraud,BTM Layout,12.916264,77.607112,2024-10-27,20:18:11,Medium,Open,26,Other
FIR00128,Drug Offense,Marathahalli,12.955744,77.697328,2025-11-23,16:22:42,Medium,Closed,38,Other
FIR00129,Drug Offense,Rajajinagar,12.987918,77.557119,2025-01-12,23:58:11,Medium,Under Investigation,69,Other
FIR00130,Cyber Crime,Malleshwaram,13.001755,77.56862,2026-02-12,03:31:31,Medium,Under Investigation,56,Male
FIR00131,Kidnapping,HSR Layout,12.91132,77.646934,2025-06-28,13:42:49,High,Under Investigation,40,Other
FIR00132,Cyber Crime,BTM Layout,12.913025,77.613093,2024-10-24,12:21:16,Medium,Open,20,Female
FIR00133,Assault,Koramangala,12.930838,77.624174,2025-02-28,12:58:03,Medium,Under Investigation,67,Male
FIR00134,Assault,Rajajinagar,12.988927,77.553027,2025-03-23,10:07:41,Medium,Closed,60,Female
FIR00135,Cyber Crime,Marathahalli,12.954937,77.699828,2026-01-04,21:02:28,Medium,Under Investigation,57,Other
FIR00136,Fraud,Rajajinagar,12.986555,77.553762,2026-02-27,15:36:13,Medium,Under Investigation,46,Male
FIR00137,Assault,Marathahalli,12.956249,77.696609,2025-12-29,08:39:08,Medium,Closed,42,Other
FIR00138,Fraud,Indiranagar,12.979637,77.644314,2026-02-20,00:21:50,Medium,Closed,29,Female
FIR00139,Theft,Malleshwaram,12.999462,77.568266,2025-03-25,06:40:50,Low,Closed,41,Male
FIR00140,Drug Offense,Whitefield,12.969009,77.745389,2024-09-20,06:01:14,Medium,Under Investigation,59,Male
FIR00141,Kidnapping,BTM Layout,12.91455,77.605262,2024-08-07,07:46:27,High,Open,60,Other
FIR00142,Murder,Banashankari,12.91758,77.574831,2025-01-23,09:08:12,High,Under Investigation,40,Male
FIR00143,Fraud,BTM Layout,12.919929,77.614215,2025-09-10,10:39:32,Medium,Open,37,Female
FIR00144,Drug Offense,Bellandur,12.931123,77.67764,2025-07-27,19:02:25,Medium,Under Investigation,59,Other
FIR00145,Drug Offense,Hebbal,13.034181,77.601877,2025-06-26,05:05:00,Medium,Open,54,Male
FIR00146,Domestic Violence,Whitefield,12.972343,77.751957,2026-02-12,09:40:39,Medium,Under Investigation,60,Other
FIR00147,Murder,Marathahalli,12.958034,77.697062,2024-09-12,22:34:32,High,Under Investigation,39,Male
FIR00148,Cyber Crime,Malleshwaram,13.001622,77.566023,2025-07-23,23:27:10,Medium,Closed,43,Female
FIR00149,Drug Offense,Koramangala,12.935997,77.623487,2025-03-29,07:14:44,Medium,Closed,62,Female
FIR00150,Robbery,MG Road,12.971712,77.602158,2025-06-19,07:53:44,High,Under Investigation,34,Female
FIR00151,Robbery,Hebbal,13.031985,77.594894,2025-06-11,18:04:03,High,Under Investigation,37,Male
FIR00152,Cyber Crime,Marathahalli,12.961218,77.698795,2024-10-22,15:46:21,Medium,Closed,34,Male
FIR00153,Murder,Whitefield,12.96871,77.750535,2026-01-29,06:30:36,High,Under Investigation,55,Female
FIR00154,Vehicle Theft,Rajajinagar,12.989012,77.549845,2026-01-31,09:49:07,Low,Closed,58,Female
FIR00155,Cyber Crime,Marathahalli,12.956395,77.699691,2025-08-04,16:33:40,Medium,Under Investigation,22,Male
FIR00156,Fraud,Banashankari,12.923307,77.570618,2026-06-23,08:39:04,Medium,Open,60,Male
FIR00157,Murder,Electronic City,12.836459,77.678641,2025-09-14,07:02:33,High,Closed,60,Other
FIR00158,Assault,Jayanagar,12.925633,77.594081,2025-12-01,15:32:46,Medium,Closed,24,Other
FIR00159,Kidnapping,Jayanagar,12.926939,77.594987,2025-12-10,17:01:30,High,Under Investigation,60,Female
FIR00160,Vehicle Theft,Banashankari,12.92003,77.571481,2025-01-27,16:03:59,Low,Closed,44,Female
FIR00161,Robbery,Bellandur,12.927701,77.676169,2026-04-23,18:04:24,High,Closed,37,Other
FIR00162,Fraud,Bellandur,12.930242,77.671947,2026-05-29,16:50:28,Medium,Open,58,Male
FIR00163,Fraud,Indiranagar,12.974206,77.645124,2026-04-09,05:48:35,Medium,Closed,45,Female
FIR00164,Cyber Crime,Electronic City,12.837389,77.6721,2026-03-22,03:28:29,Medium,Open,21,Other
FIR00165,Assault,Malleshwaram,13.002687,77.568086,2024-12-27,12:04:52,Medium,Closed,66,Other
FIR00166,Robbery,Electronic City,12.837701,77.677133,2026-06-22,09:09:35,High,Closed,52,Male
FIR00167,Drug Offense,Hebbal,13.036792,77.594608,2025-07-17,02:44:47,Medium,Closed,19,Other
FIR00168,Cyber Crime,Whitefield,12.968367,77.754395,2025-05-21,08:38:45,Medium,Under Investigation,31,Other
FIR00169,Theft,Bellandur,12.930891,77.678193,2026-03-07,07:51:20,Low,Open,54,Male
FIR00170,Kidnapping,Koramangala,12.93984,77.621439,2025-03-04,12:02:03,High,Under Investigation,66,Other
FIR00171,Vehicle Theft,Electronic City,12.839717,77.676353,2026-02-22,11:09:54,Low,Open,34,Male
FIR00172,Assault,Bellandur,12.923474,77.674997,2025-10-03,11:21:15,Medium,Open,31,Other
FIR00173,Vehicle Theft,Whitefield,12.972982,77.752368,2024-11-24,23:57:45,Low,Open,55,Other
FIR00174,Theft,BTM Layout,12.915436,77.608065,2026-01-30,10:28:43,Low,Open,36,Female
FIR00175,Domestic Violence,Whitefield,12.972946,77.751956,2025-05-09,12:15:06,Medium,Open,49,Male
FIR00176,Cyber Crime,Rajajinagar,12.989259,77.559436,2026-05-20,12:53:56,Medium,Closed,58,Female
FIR00177,Kidnapping,HSR Layout,12.913138,77.648905,2024-09-19,13:05:34,High,Under Investigation,21,Other
FIR00178,Drug Offense,Hebbal,13.038832,77.601323,2024-10-07,06:17:12,Medium,Open,34,Male
FIR00179,Domestic Violence,Bellandur,12.927336,77.674925,2025-06-05,04:21:16,Medium,Open,59,Other
FIR00180,Assault,Banashankari,12.917849,77.570777,2025-06-13,06:10:23,Medium,Under Investigation,50,Male
FIR00181,Domestic Violence,Koramangala,12.934752,77.627789,2025-06-19,13:47:50,Medium,Under Investigation,29,Other
FIR00182,Kidnapping,Bellandur,12.931093,77.675766,2025-09-22,09:57:23,High,Open,70,Male
FIR00183,Robbery,Whitefield,12.974217,77.753812,2026-06-29,20:47:34,High,Under Investigation,42,Male
FIR00184,Theft,Marathahalli,12.960353,77.696623,2024-07-30,23:15:26,Low,Closed,34,Other
FIR00185,Murder,Marathahalli,12.956088,77.696969,2025-03-13,13:34:57,High,Closed,21,Other
FIR00186,Drug Offense,Jayanagar,12.926694,77.59807,2025-08-24,17:11:43,Medium,Open,60,Other
FIR00187,Assault,Marathahalli,12.95635,77.6932,2024-08-25,14:53:47,Medium,Open,35,Female
FIR00188,Vehicle Theft,BTM Layout,12.914176,77.613395,2025-11-22,04:11:09,Low,Open,63,Male
FIR00189,Kidnapping,MG Road,12.974875,77.601564,2025-02-20,00:31:14,High,Under Investigation,42,Other
FIR00190,Kidnapping,Jayanagar,12.925903,77.596443,2025-06-13,08:16:58,High,Closed,58,Male
FIR00191,Murder,BTM Layout,12.917136,77.611714,2026-01-20,07:21:14,High,Closed,44,Female
FIR00192,Kidnapping,Bellandur,12.927672,77.676305,2026-01-31,02:24:09,High,Open,21,Male
FIR00193,Domestic Violence,Rajajinagar,12.993142,77.550205,2025-11-11,04:59:09,Medium,Under Investigation,67,Other
FIR00194,Drug Offense,Rajajinagar,12.994875,77.554989,2025-06-18,19:11:02,Medium,Open,62,Other
FIR00195,Robbery,BTM Layout,12.920806,77.610949,2026-06-06,04:02:56,High,Under Investigation,39,Female
FIR00196,Kidnapping,HSR Layout,12.909805,77.644605,2026-06-06,13:09:37,High,Under Investigation,60,Other
FIR00197,Cyber Crime,Bellandur,12.927247,77.674625,2026-04-01,08:29:34,Medium,Closed,56,Male
FIR00198,Murder,Whitefield,12.968194,77.753519,2024-11-19,23:09:41,High,Closed,48,Female
FIR00199,Vehicle Theft,Whitefield,12.973594,77.753714,2025-12-19,15:42:17,Low,Under Investigation,38,Female
FIR00200,Domestic Violence,Banashankari,12.913517,77.570946,2024-11-12,19:16:49,Medium,Under Investigation,35,Other
FIR00201,Vehicle Theft,Rajajinagar,12.992742,77.557382,2024-10-30,15:36:49,Low,Closed,23,Other
FIR00202,Kidnapping,Hebbal,13.035004,77.593184,2025-03-01,08:28:35,High,Under Investigation,23,Female
FIR00203,Domestic Violence,Hebbal,13.032428,77.601607,2026-03-11,06:57:05,Medium,Closed,29,Other
FIR00204,Vehicle Theft,Marathahalli,12.963673,77.697821,2025-12-13,05:28:02,Low,Open,26,Female
FIR00205,Cyber Crime,HSR Layout,12.912747,77.651902,2026-04-25,08:10:16,Medium,Open,35,Other
FIR00206,Murder,Koramangala,12.937806,77.622749,2025-07-21,16:20:31,High,Closed,51,Other
FIR00207,Assault,Rajajinagar,12.995123,77.552744,2024-12-14,22:54:31,Medium,Closed,22,Male
FIR00208,Cyber Crime,Marathahalli,12.959869,77.695544,2025-10-14,05:38:29,Medium,Under Investigation,59,Other
FIR00209,Cyber Crime,Koramangala,12.940058,77.620511,2025-08-13,20:37:21,Medium,Closed,19,Other
FIR00210,Fraud,BTM Layout,12.912266,77.608109,2025-02-15,16:17:30,Medium,Closed,40,Female
FIR00211,Murder,Malleshwaram,13.001605,77.571928,2025-08-29,21:14:41,High,Under Investigation,53,Other
FIR00212,Murder,Bellandur,12.923357,77.673889,2026-02-09,20:44:45,High,Closed,34,Female
FIR00213,Cyber Crime,Banashankari,12.91352,77.573626,2025-12-05,18:12:50,Medium,Closed,58,Female
FIR00214,Murder,MG Road,12.978174,77.60778,2026-05-17,08:55:32,High,Closed,20,Other
FIR00215,Vehicle Theft,Yelahanka,13.101881,77.600478,2025-01-16,01:14:30,Low,Open,22,Female
FIR00216,Assault,MG Road,12.978363,77.602832,2024-08-22,06:18:39,Medium,Under Investigation,38,Other
FIR00217,Assault,Jayanagar,12.927239,77.59183,2026-02-02,14:05:49,Medium,Closed,39,Other
FIR00218,Robbery,Malleshwaram,13.007668,77.565981,2025-07-05,18:38:38,High,Closed,55,Other
FIR00219,Drug Offense,Hebbal,13.037611,77.601647,2025-05-02,05:15:13,Medium,Closed,41,Female
FIR00220,Kidnapping,Jayanagar,12.923691,77.595897,2026-01-21,21:28:16,High,Open,19,Other
FIR00221,Murder,Jayanagar,12.925287,77.589944,2026-01-23,13:47:49,High,Open,24,Female
FIR00222,Drug Offense,Hebbal,13.031364,77.601456,2024-08-23,09:18:41,Medium,Open,64,Male
FIR00223,Robbery,Hebbal,13.036946,77.600557,2026-06-30,08:05:51,High,Closed,47,Male
FIR00224,Cyber Crime,Electronic City,12.840764,77.673227,2024-08-13,10:36:34,Medium,Under Investigation,39,Female
FIR00225,Domestic Violence,Bellandur,12.928744,77.672606,2024-10-04,11:19:34,Medium,Open,29,Other
FIR00226,Drug Offense,Malleshwaram,13.005905,77.569062,2025-12-23,11:01:57,Medium,Under Investigation,52,Female
FIR00227,Cyber Crime,Hebbal,13.035901,77.60164,2024-09-04,20:14:23,Medium,Under Investigation,32,Male
FIR00228,Cyber Crime,Banashankari,12.923081,77.576898,2024-09-04,14:44:27,Medium,Under Investigation,41,Female
FIR00229,Kidnapping,Yelahanka,13.101488,77.591478,2026-05-10,13:15:24,High,Under Investigation,54,Other
FIR00230,Drug Offense,Yelahanka,13.101533,77.598819,2026-05-19,05:06:08,Medium,Closed,34,Other
FIR00231,Assault,Electronic City,12.835377,77.674606,2025-04-16,08:51:20,Medium,Open,25,Male
FIR00232,Theft,BTM Layout,12.914889,77.605298,2026-04-23,09:21:51,Low,Under Investigation,19,Other
FIR00233,Assault,Banashankari,12.918477,77.576776,2025-04-24,20:02:20,Medium,Closed,19,Female
FIR00234,Drug Offense,Jayanagar,12.925321,77.59241,2025-09-11,02:14:12,Medium,Closed,39,Other
FIR00235,Drug Offense,Banashankari,12.923395,77.570189,2025-03-18,09:58:21,Medium,Under Investigation,37,Male
FIR00236,Robbery,Malleshwaram,13.003383,77.568856,2025-08-03,10:09:34,High,Under Investigation,46,Other
FIR00237,Drug Offense,Hebbal,13.040726,77.60118,2024-10-31,23:23:50,Medium,Open,26,Male
FIR00238,Theft,Indiranagar,12.97477,77.641253,2025-12-01,17:40:15,Low,Under Investigation,36,Male
FIR00239,Domestic Violence,Jayanagar,12.923023,77.596058,2026-06-02,01:10:05,Medium,Under Investigation,20,Other
FIR00240,Drug Offense,Koramangala,12.933822,77.627947,2026-04-15,19:55:34,Medium,Under Investigation,69,Female
FIR00241,Fraud,Rajajinagar,12.991841,77.551938,2026-05-22,06:27:03,Medium,Closed,65,Female
FIR00242,Theft,Electronic City,12.843266,77.68071,2026-05-08,08:55:54,Low,Open,55,Female
FIR00243,Cyber Crime,HSR Layout,12.908591,77.64567,2025-05-15,13:22:11,Medium,Under Investigation,66,Other
FIR00244,Vehicle Theft,MG Road,12.972552,77.608301,2024-09-17,06:35:59,Low,Closed,43,Female
FIR00245,Fraud,Hebbal,13.040291,77.60113,2024-11-27,03:34:55,Medium,Open,39,Male
FIR00246,Drug Offense,HSR Layout,12.911021,77.648809,2026-03-22,05:45:13,Medium,Closed,47,Female
FIR00247,Kidnapping,Whitefield,12.965669,77.753613,2026-01-02,21:29:43,High,Closed,65,Female
FIR00248,Fraud,BTM Layout,12.921024,77.608795,2024-11-25,16:10:56,Medium,Open,46,Male
FIR00249,Assault,Malleshwaram,13.000274,77.566016,2025-03-20,11:49:06,Medium,Open,44,Other
FIR00250,Robbery,Jayanagar,12.921301,77.591254,2025-01-02,22:53:52,High,Closed,29,Male
FIR00251,Vehicle Theft,Jayanagar,12.926245,77.593448,2025-12-29,18:35:30,Low,Under Investigation,64,Female
FIR00252,Cyber Crime,Whitefield,12.965889,77.749756,2026-07-11,17:12:19,Medium,Closed,26,Female
FIR00253,Fraud,Whitefield,12.970237,77.746767,2024-12-21,23:45:30,Medium,Closed,32,Female
